ID,mean-1,mean-2,mean-3,mean-4,mean-5,variance-1,variance-2,variance-3,variance-4,variance-5,skewness-1,skewness-2,skewness-3,skewness-4,skewness-5,kurt-1,kurt-2,kurt-3,kurt-4,kurt-5,contrast-1,contrast-2,contrast-3,contrast-4,contrast-5,homogeneity-1,homogeneity-2,homogeneity-3,homogeneity-4,homogeneity-5,energy-1,energy-2,energy-3,energy-4,energy-5,correlation-1,correlation-2,correlation-3,correlation-4,correlation-5,asm-1,asm-2,asm-3,asm-4,asm-5,entropy_val-1,entropy_val-2,entropy_val-3,entropy_val-4,entropy_val-5,surface,H2 ,CO2
11756,17.65762389,13.13814103,18.68342476,12.74505772,14.77173478,1883.027114,1508.032137,2000.817098,1414.95499,1681.547138,2.637748214,3.256960572,2.514333326,3.261813514,3.053901172,6.39679244,10.34903419,5.608329083,10.44042116,8.962462827,216.7312028,319.5941752,250.0527278,288.1509455,335.3204794,0.732492624,0.800123026,0.718643889,0.799676752,0.785094445,0.640034305,0.728934579,0.639876763,0.72022933,0.7066632,0.942545594,0.894186715,0.937615588,0.898321414,0.900433469,0.409643911,0.531345621,0.409442272,0.518730288,0.499372879,10.45010261,10.56778978,10.46694518,10.56063802,10.45855792,2043.27,78.25003889,2.559103112
11757,14.02575767,10.1600288,14.30432976,9.917835884,11.55289164,1505.723986,1116.116921,1535.641858,1128.705861,1355.699015,3.114902397,3.810600935,3.013393898,3.905206318,3.698782031,9.751714331,15.02182922,8.918804733,15.84248282,14.09847093,243.6196775,289.5659636,268.0403063,239.6280072,358.646762,0.767461338,0.829706479,0.767077745,0.834823583,0.814466401,0.687354485,0.753698441,0.703653712,0.766336821,0.74388143,0.919266405,0.870455232,0.912899106,0.893992861,0.867904031,0.472456188,0.56806134,0.495128547,0.587272123,0.553359582,10.14633817,10.29757748,10.16526721,10.26898281,10.36913096,1585.06,145.5301367,1.619443357
11758,8.809912109,9.042253408,11.35915131,7.574026779,7.763844649,967.8539545,965.6474961,1340.675315,857.9987576,881.9467391,4.177810679,3.91260369,3.792657856,4.543318162,4.516634621,18.76551535,16.02773084,14.97230642,22.05719859,21.61714674,142.8196034,149.1239535,360.8753481,243.1779605,290.3539663,0.843839541,0.843265652,0.813123585,0.860994251,0.857040439,0.781410318,0.797247111,0.743109191,0.810798798,0.800826841,0.926326059,0.922894883,0.865640294,0.858534882,0.835676922,0.610602086,0.635602956,0.552211269,0.65739469,0.64132363,10.00269047,10.03339233,10.01435397,10.18618517,10.2161809,1906.77,126.2104836,0.76616009
11759,8.175219853,11.56918609,10.1432466,12.76656671,8.157151633,933.7249422,1300.477067,1223.384057,1457.331383,953.979184,4.390081175,3.618180193,4.048455298,3.369862178,4.429976652,20.5383301,13.7164621,17.12204444,11.48341344,20.90707634,254.5068446,203.0584918,340.5617668,245.1012086,226.7517762,0.858681153,0.80573319,0.833994842,0.794370105,0.864540736,0.800196885,0.736700388,0.773215974,0.740591487,0.817973259,0.863905279,0.922087002,0.861004017,0.916079223,0.881321569,0.640315054,0.542727461,0.597862943,0.548475751,0.669080252,10.0835009,9.981660685,10.20044247,10.01778499,10.06527778,1573.59,170.9135433,0.800570799
11760,14.73642991,26.13671066,14.51479551,15.6152271,16.0516345,1611.789465,2521.274284,1538.191293,1598.756739,1690.890577,3.001341638,1.924473972,2.98965904,2.740324235,2.739143993,8.860729846,2.930410978,8.848961612,7.160589588,7.168200604,239.7548413,484.2874417,165.7629631,129.8233333,239.9187584,0.809248785,0.656778119,0.806144943,0.796223564,0.801162367,0.745876558,0.544763372,0.729706249,0.716467635,0.733088946,0.925741342,0.904088642,0.946201911,0.959446013,0.92913638,0.556331839,0.296767131,0.53247121,0.513325872,0.537419403,10.94146516,11.22184189,10.9433834,11.03449659,11.03640514,1954.23,77.62797605,1.932440998
11761,13.5038815,20.04187092,13.58191593,18.63609553,13.62898396,1466.109445,2135.857531,1516.028986,1970.403832,1579.379934,3.10381748,2.393387667,3.118745144,2.527140032,3.254092647,9.202788079,4.905953556,9.252773284,5.718702982,10.34638121,317.4214378,324.5719242,289.4858421,293.2633925,370.5620465,0.780709828,0.69821493,0.785572731,0.710209726,0.788134715,0.694397526,0.61848313,0.70894748,0.617503927,0.709106227,0.891887137,0.924171837,0.90464882,0.925731309,0.882840175,0.482187924,0.382521383,0.50260653,0.381311099,0.502831641,10.51387143,10.37676478,10.5051645,10.35266756,10.52654567,1872.47,99.00771175,2.417686728
11762,11.11897961,11.48742213,14.59786626,10.83275463,14.06734431,1308.857182,1397.649119,1693.665321,1290.597124,1640.92238,3.765414645,3.7456279,3.154280175,3.826608543,3.277145802,14.63354936,14.3793539,9.964596723,15.1723614,10.88891366,366.7431788,364.8191582,293.8404602,322.2675842,270.3926207,0.812692124,0.821442135,0.768844447,0.81795907,0.773967971,0.746624681,0.762268061,0.717086583,0.759873934,0.707691434,0.860095621,0.869670921,0.913406914,0.875323397,0.917756707,0.557448414,0.581052597,0.514213167,0.577408396,0.500827166,10.41517577,10.26738573,10.23929148,10.3877749,10.2156444,1369.44,191.5874264,1.194850428
11763,12.44135417,9.075833333,11.50162946,12.84717729,8.868433099,1522.94205,1119.408797,1390.792247,1614.449664,1100.154779,3.576155365,4.353672493,3.766155716,3.638136546,4.349075588,12.96901285,19.84002731,14.60566885,13.4026529,19.76612695,291.6693466,360.3476628,276.4363998,477.8489762,309.7914041,0.794828513,0.835076831,0.804171079,0.788917724,0.83963781,0.752093851,0.782501443,0.747307663,0.721510977,0.795364996,0.90439991,0.839294552,0.90078075,0.852230618,0.859423862,0.565645161,0.612308508,0.558468743,0.520578091,0.632605477,10.09082842,10.24521472,10.06266014,10.2247394,10.21609354,1274.52,222.0521382,1.050533705
11764,8.538656124,11.0143094,8.567788938,12.2431185,11.76071879,998.0982852,1355.84209,1021.987437,1380.155934,1344.063075,4.329495548,3.849412411,4.29954378,3.403883272,3.572714912,19.59772862,15.13930886,19.2499334,11.67350103,13.05183463,292.7713949,396.3416416,261.5736859,251.2279261,245.1365898,0.845987804,0.821182275,0.852083214,0.788287531,0.796334455,0.788885122,0.763607192,0.80301313,0.727838152,0.725392183,0.85354815,0.85404766,0.872212888,0.909153756,0.90896981,0.622339736,0.583095944,0.644830087,0.529748375,0.526193819,10.17547584,10.19269848,10.15723816,10.06147431,10.03019167,1289.72,189.9890261,1.585829379
11765,14.77425443,11.27674592,12.90229367,11.00366124,15.47480731,1574.708532,1273.200176,1497.166454,1252.08867,1647.057306,3.041998117,3.686754855,3.492196862,3.725951593,2.919272687,9.328532871,14.16520772,12.54530224,14.46672798,8.44950358,196.2048115,308.050543,353.6560108,262.2110662,221.9619447,0.761041962,0.8139834,0.803381289,0.819094476,0.752701561,0.675882364,0.73975891,0.730431575,0.75446897,0.676883334,0.937806851,0.879199896,0.882060168,0.895442335,0.932734319,0.456816969,0.547243245,0.533530285,0.569223427,0.458171048,10.33241994,10.45858779,10.34576051,10.43675712,10.34584352,1985.72,100.0920391,1.597282486
