Number,mean-1,mean-2,mean-3,mean-4,mean-5,mean-average,mean-max,mean-min,mean-diff,skewness-1,skewness-2,skewness-3,skewness-4,skewness-5,skewness-average,skewness-max,skewness-min,skewness-diff,kurt-1,kurt-2,kurt-3,kurt-4,kurt-5,kurt-average,kurt-max,kurt-min,kurt-diff,homogeneity-1,homogeneity-2,homogeneity-3,homogeneity-4,homogeneity-5,homogeneity-average,homogeneity-max,homogeneity-min,homogeneity-diff,energy-1,energy-2,energy-3,energy-4,energy-5,energy-average,energy-max,energy-min,energy-diff,asm-1,asm-2,asm-3,asm-4,asm-5,asm-average,asm-max,asm-min,asm-diff,CO2_0.15,N2_0.85,CO2_0.015*100,N2_0.085*100,Working_Capacity,Selectivity
14224,12.51723139,8.412879268,10.98663814,9.144639537,11.51628746,10.26534708,12.51723139,8.412879268,4.104352122,3.671938028,4.282404583,3.721229097,4.206524952,3.526074598,3.881634252,4.282404583,3.526074598,0.756329985,13.9993518,19.60940238,14.81143135,18.60008945,12.92129094,15.98831318,19.60940238,12.92129094,6.68811144,0.771473491,0.826214946,0.788196537,0.822296467,0.783658922,0.798368073,0.826214946,0.771473491,0.054741455,0.685546287,0.754208008,0.70481629,0.755735465,0.71578404,0.723218018,0.755735465,0.685546287,0.070189178,0.469973712,0.56882972,0.496766003,0.571136093,0.512346792,0.523810464,0.571136093,0.469973712,0.101162381,0.121706058,0.18714441,0.4834792,1.0871255,0.116871266,3.685216475
14225,16.17262027,15.54930784,13.44665363,12.01404153,11.94045637,14.29565582,16.17262027,12.01404153,4.15857874,2.82930432,2.972130997,3.389405149,3.472992483,3.503443132,3.233455216,3.503443132,2.82930432,0.674138812,7.890652116,8.934396767,11.71612787,12.48131448,12.65185493,10.73486923,12.65185493,7.890652116,4.761202814,0.727715899,0.725754563,0.776798715,0.78107352,0.786798056,0.759628151,0.786798056,0.725754563,0.061043493,0.653051541,0.631754082,0.698027393,0.682355562,0.702291608,0.673496037,0.702291608,0.631754082,0.070537526,0.426476315,0.39911322,0.487242242,0.465609113,0.493213502,0.454330878,0.493213502,0.39911322,0.094100282,0.136384352,0.191423629,0.5078203,1.1000819,0.131306148,4.037352449
14226,12.49275563,13.97251773,13.12167504,10.36608155,10.40065931,12.48825749,13.97251773,10.36608155,3.60643618,3.691995968,3.288292945,3.489104689,4.013990814,4.058714241,3.708419731,4.058714241,3.288292945,0.770421296,14.01452718,11.18644746,12.73498944,16.92739364,17.39749842,14.45217123,17.39749842,11.18644746,6.21105096,0.775935202,0.739510133,0.743386623,0.800913232,0.793317046,0.770612447,0.800913232,0.739510133,0.061403099,0.692911142,0.674030084,0.66232962,0.732017086,0.714008203,0.695059227,0.732017086,0.66232962,0.069687466,0.480125851,0.454316554,0.438680526,0.535849015,0.509807714,0.483755932,0.535849015,0.438680526,0.097168489,0.147430694,0.265981319,0.6008312,1.6776114,0.141422382,3.140974708
14227,33.08386949,32.46506944,31.79074235,23.04619,21.51844329,30.09646782,33.08386949,23.04619,10.03767949,1.504878649,1.466171072,1.689808585,2.13877011,2.162174748,1.792360633,2.162174748,1.466171072,0.696003676,1.472509418,1.352372125,2.24643732,4.049959752,4.234714053,2.671198534,4.234714053,1.352372125,2.882341928,0.434643385,0.418063934,0.503085649,0.629266038,0.63490005,0.523991811,0.63490005,0.418063934,0.216836116,0.255972324,0.220618068,0.35592801,0.504775691,0.499216604,0.367302139,0.504775691,0.220618068,0.284157623,0.065521831,0.048672332,0.126684748,0.254798499,0.249217218,0.148978926,0.254798499,0.048672332,0.206126167,0.161726676,0.1579017,0.5297289,0.8940123,0.156429387,5.803934763
14228,11.91252795,14.61278832,11.12903245,15.63814484,11.04628283,13.32312339,15.63814484,11.12903245,4.50911239,3.553474706,2.720716535,3.290017633,2.515409019,3.374831133,3.090889805,3.553474706,2.515409019,1.038065687,13.16514184,7.00255081,10.64362319,5.517468522,11.37376105,9.540509082,13.16514184,5.517468522,7.647673318,0.771427731,0.688914564,0.774199493,0.683884338,0.780502167,0.739785659,0.780502167,0.683884338,0.096617829,0.680435335,0.569513353,0.669574146,0.578112557,0.691190973,0.637765273,0.691190973,0.569513353,0.12167762,0.462992245,0.324345459,0.448329537,0.334214129,0.477744962,0.409525266,0.477744962,0.324345459,0.153399503,0.121897465,0.171517359,0.4415271,0.9598716,0.117482194,4.027302561
14229,14.00624173,10.27661836,10.21613936,15.23689413,10.36337737,12.4339734,15.23689413,10.21613936,5.02075477,3.278379438,4.021956523,3.935654984,3.066471233,3.933225203,3.647137476,4.021956523,3.066471233,0.95548529,11.05352522,16.80198827,16.32095687,9.435128729,16.12520264,13.94736035,16.80198827,9.435128729,7.366859541,0.724940824,0.809285204,0.804234061,0.716846572,0.810884971,0.773238326,0.810884971,0.716846572,0.094038399,0.638201994,0.735113315,0.724765228,0.648539113,0.750997058,0.699523342,0.750997058,0.638201994,0.112795064,0.407301785,0.540391586,0.525284635,0.420602981,0.563996581,0.491515514,0.563996581,0.407301785,0.156694796,0.14378999,0.300119389,0.6631909,1.8630563,0.137158081,2.714952688
14230,11.92013954,12.72633609,16.33540331,15.3640439,11.95599159,14.08648071,16.33540331,11.92013954,4.41526377,3.681802674,3.670333676,2.980901196,3.155819496,3.705485441,3.438868497,3.705485441,2.980901196,0.724584245,13.69952594,13.51596468,8.656766274,9.856671341,14.02098799,11.94998325,14.02098799,8.656766274,5.364221716,0.783713871,0.784754605,0.717078436,0.721887549,0.774180712,0.756323035,0.784754605,0.717078436,0.067676169,0.699898153,0.70783085,0.62714894,0.629623498,0.680142713,0.668928831,0.70783085,0.62714894,0.08068191,0.489857425,0.501024512,0.393315792,0.396425749,0.462594111,0.448643518,0.501024512,0.393315792,0.10770872,0.135452364,0.210926314,0.5083982,1.3020337,0.130368382,3.639012032
14231,8.698090716,8.380864221,10.52192982,11.36334293,12.21485916,9.741056922,11.36334293,8.380864221,2.982478709,4.241219081,4.280503572,3.827854433,3.616188523,3.64899558,3.922952238,4.280503572,3.616188523,0.664315049,18.78785558,19.23730133,15.22848056,13.28340736,13.66680417,16.0407698,19.23730133,13.28340736,5.95389397,0.818796688,0.819980261,0.790715447,0.78350157,0.774285155,0.797455824,0.819980261,0.774285155,0.045695106,0.757230111,0.749722045,0.715151274,0.7215036,0.695069838,0.727735374,0.757230111,0.695069838,0.062160273,0.573397441,0.562083144,0.511441345,0.520567445,0.483122079,0.530122291,0.573397441,0.483122079,0.090275362,0.196161646,0.212223265,0.6525033,1.3209769,0.189636614,5.237798322
14232,9.490934386,9.408363058,10.64290022,12.84898252,11.21867462,10.59779505,12.84898252,9.408363058,3.440619462,3.840782087,3.948182355,3.52894751,3.4666798,3.302022377,3.617322826,3.948182355,3.302022377,0.646159978,15.24675881,16.15316277,12.88250433,12.43264299,10.83522145,13.51005807,16.15316277,10.83522145,5.31794132,0.793961833,0.799170691,0.780275045,0.764107215,0.772642615,0.78203148,0.799170691,0.764107215,0.035063476,0.717652015,0.712462742,0.694843331,0.662281168,0.697422699,0.696932391,0.717652015,0.662281168,0.055370847,0.515024414,0.507603159,0.482807255,0.438616346,0.486398422,0.486089919,0.515024414,0.438616346,0.076408068,0.121831095,0.194805523,0.4949722,1.1782279,0.116881373,3.543925202
14233,6.886840979,9.049140625,9.429810049,7.138251911,10.20678741,8.126010891,9.429810049,6.886840979,2.54296907,4.766341685,4.031986092,3.815991811,4.700002244,4.002542186,4.263372804,4.766341685,3.815991811,0.950349874,24.42211819,17.46040633,15.18486255,23.6517279,16.81479583,19.50678216,24.42211819,15.18486255,9.23725564,0.848883816,0.802021143,0.801862822,0.848489176,0.794656143,0.81918262,0.848883816,0.794656143,0.054227673,0.784150696,0.722997132,0.738545204,0.789890247,0.715930993,0.750302854,0.789890247,0.715930993,0.073959254,0.614892313,0.522724854,0.545449018,0.623926602,0.512557187,0.563909995,0.623926602,0.512557187,0.111369415,0.1312718,0.274546806,0.6521176,1.8386535,0.124750624,2.709459808
